x,y,z,yaw,velocity,change_flag
-55.2525,-96.3948,4.5425,1.6704,6,0
-55.4357,-95.3887,4.547,1.6571,6,0
-55.5025,-94.3842,4.5091,1.6524,6,0
-55.6184,-93.358,4.4824,1.6416,6,0
-55.6614,-92.3518,4.4351,1.6146,6,0
-55.7737,-91.3342,4.4607,1.5993,6,0
-55.8245,-90.3269,4.3924,1.587,6,0
-55.8197,-89.3178,4.3452,1.5726,6,0
-55.8642,-88.3021,4.2937,1.5546,6,0
-55.8347,-87.2915,4.3218,1.5101,6,0
-55.8412,-86.2715,4.3077,1.4787,6,0
-55.7702,-85.2698,4.2532,1.4678,6,0
-55.6292,-84.2447,4.2782,1.4727,6,0
-55.57,-83.235,4.1772,1.4726,6,0
-55.5142,-82.2128,4.1656,1.4666,6,0
-55.4429,-81.2038,4.1424,1.4631,6,0
-55.3759,-80.1703,4.0935,1.4408,6,0
-55.22,-79.1809,4.0588,1.4279,6,0
-55.1125,-78.1819,3.9793,1.4229,6,0
-54.98,-77.1836,3.9847,1.4035,6,0
-54.7825,-76.1688,3.9562,1.4009,6,0
-54.6176,-75.1756,3.9319,1.3859,6,0
-54.4871,-74.1752,3.8808,1.3783,6,0
-54.2939,-73.1865,3.8381,1.3796,6,0
-54.1396,-72.183,3.8272,1.3783,6,0
-53.9536,-71.1876,3.7364,1.3567,6,0
-53.757,-70.1993,3.7248,1.3161,6,0
-53.5373,-69.2221,3.7144,1.2971,6,0
-53.2674,-68.2521,3.6115,1.2841,6,0
-52.9834,-67.2866,3.5837,1.2746,6,0
-52.7075,-66.2983,3.5951,1.2622,6,0
-52.4045,-65.3343,3.5767,1.2539,6,0
-52.1053,-64.364,3.5524,1.2559,6,0
-51.8158,-63.389,3.4974,1.2501,6,0
-51.5226,-62.4259,3.488,1.2422,6,0
-51.2301,-61.4266,3.389,1.2324,6,0
-50.905,-60.4637,3.4037,1.2228,6,0
-50.5891,-59.4914,3.36,1.2008,6,0
-50.2178,-58.5235,3.383,1.1971,6,0
-49.8635,-57.5589,3.3322,1.1746,6,0
-49.4814,-56.6053,3.3026,1.1322,6,0
-49.0383,-55.6767,3.2603,1.1013,6,0
-48.5716,-54.7763,3.1898,1.0385,6,0
-48.0623,-53.8948,3.1277,1.0161,6,0
-47.5558,-53.0321,3.0661,0.9983,6,0
-47.0301,-52.1651,3.021,0.975,6,0
-46.4617,-51.319,2.9866,0.967,6,0
-45.9313,-50.4474,2.9336,0.9607,6,0
-45.3265,-49.6499,2.9148,0.9517,6,0
-44.7675,-48.8019,2.8734,0.9426,6,0
-44.1924,-47.9533,2.8337,0.9483,6,0
-43.6223,-47.1187,2.7897,0.9584,6,0
-43.0471,-46.2768,2.7574,0.9515,6,0
-42.4841,-45.4433,2.7375,0.9593,6,0
-41.9064,-44.5953,2.6899,0.9728,6,0
-41.3566,-43.7399,2.66,0.9739,6,0
-40.8381,-42.8444,2.6036,1.0018,6,0
-40.2799,-41.9752,2.5728,0.9788,6,0
-39.7074,-41.1042,2.4957,0.9472,6,0
-39.1324,-40.2422,2.391,1.0012,6,0
-38.6263,-39.3773,2.301,1.0208,6,0
-38.1156,-38.4929,2.3035,1.0402,6,0
-37.6781,-37.5693,2.2389,1.0357,6,0
-37.146,-36.709,2.0988,1.0387,6,0
-36.6427,-35.8124,2.1149,1.044,6,0
-36.1908,-34.9083,2.0326,1.0453,6,0
-35.6952,-34.0162,1.7918,1.0351,6,0
-35.1545,-33.151,1.7153,0.9845,6,0
-34.5954,-32.3171,1.6857,0.9491,6,0
-34.0377,-31.4774,1.6794,0.9459,6,0
-33.5017,-30.6192,1.7075,1.0106,6,0
-32.9845,-29.7414,1.6515,1.041,6,0
-32.4914,-28.8513,1.6101,1.0264,6,0
-31.9789,-27.988,1.5864,0.9984,6,0
-31.4608,-27.1324,1.5993,0.9707,6,0
-30.8775,-26.3193,1.4917,0.9472,6,0
-30.3229,-25.4776,1.4882,0.9622,6,0
-29.794,-24.6118,1.4892,0.9751,6,0
-29.2189,-23.7561,1.5031,0.9936,6,0
-28.7509,-22.8712,1.5113,1.005,6,0
-28.1648,-22.045,1.388,0.9931,6,0
